Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,id
88,Tolu Smith,Apr 13 '25 DET @ MIL,24,1,1,22,6,9,0,0,2,3,4,8,0,0,0,2,3,14,.667,,.667,22.0,14.0,8.0,0.0,0.0,0.0,smithto05
89,Tyler Smith,Oct 23 '24 MIL @ PHI,20,1,23,122,24,50,13,30,6,8,6,25,4,3,4,8,11,67,.480,.433,.750,5.3,2.9,1.1,0.2,0.1,0.2,smithty02
90,Cam Spencer,Nov 20 '24 MEM vs. PHI,24,1,25,252,34,82,19,52,19,19,12,30,34,9,1,6,23,106,.415,.365,1.000,10.1,4.2,1.2,1.4,0.4,0.0,spencca01
91,Isaiah Stevens,Mar 29 '25 MIA @ PHI,24,1,3,6,0,2,0,1,0,0,0,2,0,1,0,0,0,0,.000,.000,,2.0,0.0,0.7,0.0,0.3,0.0,steveis01
92,Drew Timme,Mar 28 '25 BRK vs. LAC,24,1,9,254,45,102,9,35,10,16,17,65,20,4,1,15,21,109,.441,.257,.625,28.2,12.1,7.2,2.2,0.4,0.1,timmedr01
93,Nae'Qwan Tomlin,Feb 20 '25 CLE @ BRK,24,1,5,63,13,32,2,10,8,11,9,21,2,0,1,2,9,36,.406,.200,.727,12.6,7.2,4.2,0.4,0.0,0.2,tomlina01
94,Armel Traoré,Nov 16 '24 LAL @ NOP,22,1,9,67,6,19,0,7,2,7,2,15,1,4,2,3,6,14,.316,.000,.286,7.4,1.6,1.7,0.1,0.4,0.2,armeltr01
95,Luke Travers,Nov 1 '24 CLE vs. ORL,23,1,12,88,5,20,0,9,2,2,8,20,8,1,1,8,6,12,.250,.000,1.000,7.3,1.0,1.7,0.7,0.1,0.1,travelu01
96,Jaylon Tyson,Oct 23 '24 CLE @ TOR,22,1,47,453,64,149,20,58,19,24,37,96,44,13,3,26,50,167,.430,.345,.792,9.6,3.6,2.0,0.9,0.3,0.1,tysonja01
97,Keaton Wallace,Oct 27 '24 ATL @ OKC,25,1,31,501,65,162,27,82,11,11,7,50,81,28,9,33,39,168,.401,.329,1.000,16.2,5.4,1.6,2.6,0.9,0.3,wallake01
98,Ja'Kobe Walter,Nov 1 '24 TOR vs. LAL,20,1,52,1103,159,393,65,186,66,83,59,160,81,43,10,50,95,449,.405,.349,.795,21.2,8.6,3.1,1.6,0.8,0.2,walteja01
99,Kel'el Ware,Oct 23 '24 MIA vs. ORL,20,1,64,1422,257,464,35,111,46,67,116,473,60,39,71,57,111,595,.554,.315,.687,22.2,9.3,7.4,0.9,0.6,1.1,wareke01
100,Anton Watson,Mar 10 '25 NYK @ SAC,24,1,9,22,4,9,0,1,0,0,1,3,2,1,0,2,3,8,.444,.000,,2.4,0.9,0.3,0.2,0.1,0.0,watsoan02
101,Jaylen Wells,Oct 23 '24 MEM @ UTA,21,1,79,2043,287,676,138,392,111,135,87,268,135,44,8,69,146,823,.425,.352,.822,25.9,10.4,3.4,1.7,0.6,0.1,wellsja01
102,Phillip Wheeler,Mar 26 '25 PHI vs. WAS,22,1,5,44,3,21,0,10,2,2,2,8,2,1,2,1,1,8,.143,.000,1.000,8.8,1.6,1.6,0.4,0.2,0.4,wheelph02
103,Cody Williams,Oct 23 '24 UTA vs. MEM,20,1,50,1060,83,257,35,135,29,40,27,113,59,23,16,44,95,230,.323,.259,.725,21.2,4.6,2.3,1.2,0.5,0.3,willico04
104,Jahmir Young,Mar 4 '25 CHI vs. CLE,24,1,6,30,4,5,1,2,2,2,1,3,6,0,0,1,2,11,.800,.500,1.000,5.0,1.8,0.5,1.0,0.0,0.0,youngja05
